Timepoint,protein_001,protein_002,protein_003,protein_004,protein_005,protein_006,protein_007,protein_008,protein_009,protein_010
0.0,13.893243,14.109412,14.100152,14.021543,13.928478,13.956547,13.678024,13.855911,13.864388,14.055223
0.0072,13.84253,14.087176,14.055465,14.031919,13.933206,13.944801,13.745756,13.855205,13.864932,14.040453
0.0144,13.795072,14.068946,14.025981,14.036215,13.933368,13.930454,13.79078,13.850365,13.863032,14.029058
0.0216,13.764244,14.055745,14.010621,14.03529,13.930931,13.916345,13.813592,13.842535,13.860002,14.020384
0.0288,13.75067,14.047751,14.005141,14.031244,13.928061,13.905451,13.819715,13.833466,13.856926,14.013768
0.036,13.746903,14.04429,14.005466,14.026778,13.926459,13.898794,13.818911,13.825418,13.854842,14.008032
0.0432,13.747774,14.04472,14.01022,14.023832,13.927299,13.895823,13.81876,13.820026,13.854417,14.002179
0.0504,13.751974,14.048914,14.018679,14.023547,13.931447,13.895331,13.820918,13.8177,13.855156,13.996852
0.0576,13.758618,14.055718,14.02842,14.025785,13.938415,13.896809,13.82465,13.817249,13.856403,13.993514
0.0648,13.765642,14.062767,14.038324,14.03027,13.94651,13.899127,13.8295,13.817235,13.858354,13.992336
0.072,13.771074,14.068454,14.048301,14.036876,13.954278,13.901141,13.835077,13.817042,13.860906,13.99208
0.0792,13.775158,14.072448,14.057968,14.044731,13.961135,13.903495,13.84057,13.816911,13.863288,13.991199
0.0864,13.779335,14.074251,14.066879,14.051615,13.966196,13.907469,13.845945,13.81656,13.864999,13.988714
0.0936,13.783358,14.073542,14.075961,14.056966,13.968413,13.913228,13.851671,13.815654,13.865815,13.985249
0.1008,13.786726,14.07145,14.085557,14.061846,13.967825,13.919963,13.858061,13.814876,13.866409,13.981798
0.108,13.789865,14.06927,14.094271,14.06706,13.965812,13.927194,13.864693,13.815587,13.867589,13.979035
0.1152,13.79265,14.067105,14.100456,14.072302,13.964031,13.934347,13.871328,13.817776,13.870068,13.977654
0.1224,13.79458,14.064276,14.103754,14.077261,13.96304,13.940523,13.87739,13.820169,13.873884,13.978817
0.1296,13.796249,14.06064,14.105019,14.081427,13.962179,13.945248,13.882455,13.822055,13.879369,13.982016
0.1368,13.798613,14.056951,14.105178,14.0838,13.961172,13.949003,13.886522,13.82377,13.885859,13.985569
0.144,13.801943,14.05351,14.104845,14.083515,13.959595,13.951987,13.89027,13.824977,13.892249,13.988509
0.1512,13.805625,14.050594,14.104274,14.080678,13.956946,13.953837,13.894265,13.825152,13.897817,13.99142
0.1584,13.808609,14.049552,14.103317,14.076883,13.953629,13.954475,13.898927,13.825578,13.902643,13.995323
0.1656,13.810683,14.052318,14.100994,14.073483,13.951482,13.954427,13.903808,13.828548,13.906497,14.000213
0.1728,13.811923,14.05856,14.096885,14.070913,13.95102,13.953588,13.907859,13.834478,13.909524,14.005831
0.18,13.812246,14.066587,14.092392,14.069007,13.951857,13.951858,13.910153,13.841657,13.912432,14.012833
0.1872,13.812238,14.074767,14.089119,14.068381,13.953548,13.949846,13.910235,13.848386,13.915847,14.021377
0.1944,13.813222,14.082477,14.087688,14.06939,13.955669,13.949031,13.908585,13.853672,13.9196,14.029982
0.2016,13.814919,14.089142,14.088759,14.07156,13.957583,13.949728,13.906896,13.857048,13.922991,14.03708
0.2088,13.81646,14.094678,14.092299,14.07447,13.959392,13.951204,13.906718,13.858645,13.924716,14.042977
0.216,13.817692,14.099569,14.097304,14.077862,13.961676,13.953078,13.907456,13.85968,13.924484,14.04833
0.2232,13.818934,14.105059,14.102813,14.080622,13.965112,13.955313,13.907494,13.862228,13.92313,14.053025
0.2304,13.82022,14.111064,14.109069,14.081553,13.969343,13.956891,13.906085,13.867182,13.922092,14.056775
0.2376,13.822174,14.116372,14.11595,14.080507,13.973748,13.956915,13.902908,13.873008,13.922543,14.059953
0.2448,13.825678,14.120115,14.122833,14.078017,13.977996,13.956233,13.898126,13.877679,13.925176,14.063013
0.252,13.830705,14.122578,14.128621,14.07435,13.982462,13.956146,13.893403,13.88085,13.92915,14.065421
0.2592,13.836109,14.124036,14.133214,14.07007,13.986982,13.956909,13.891292,13.882473,13.93311,14.067028
0.2664,13.840732,14.124892,14.136783,14.065884,13.990909,13.95825,13.892244,13.882016,13.936136,14.067861
0.2736,13.844214,14.1258,14.138417,14.062451,13.993974,13.960321,13.895114,13.879446,13.938209,14.068102
0.2808,13.846317,14.127502,14.137062,14.059744,13.9964,13.963011,13.897995,13.876031,13.939969,14.067315
0.288,13.847249,14.130237,14.133425,14.057372,13.998373,13.965621,13.899579,13.873025,13.942294,14.06556
0.2952,13.84807,14.133557,14.128892,14.055731,13.999744,13.968088,13.899384,13.870627,13.945116,14.062965
0.3024,13.849599,14.136773,14.123865,14.055447,14.000978,13.971769,13.89767,13.868386,13.947481,14.060409
0.3096,13.851387,14.13946,14.119296,14.056112,14.002715,13.977714,13.895533,13.866679,13.948418,14.058705
0.3168,13.852652,14.141389,14.11725,14.057197,14.004589,13.985806,13.89506,13.86654,13.947715,14.058157
0.324,13.853399,14.142589,14.118416,14.059453,14.005922,13.995111,13.896803,13.867978,13.945763,14.058676
0.3312,13.853853,14.143935,14.121287,14.063401,14.006257,14.00447,13.898731,13.87018,13.943561,14.059593
0.3384,13.854018,14.146426,14.124321,14.068451,14.006331,14.012424,13.899915,13.873595,13.941314,14.060477
0.3456,13.853889,14.150676,14.127693,14.074037,14.007444,14.01838,13.900937,13.879486,13.939486,14.061328
0.3528,13.853821,14.15665,14.131281,14.079856,14.01066,14.02271,13.902191,13.887409,13.93878,14.062692
0.36,13.854651,14.164059,14.135003,14.086257,14.015315,14.026138,13.90389,13.895533,13.940219,14.064489
0.3672,13.856493,14.172501,14.139615,14.093323,14.020806,14.028521,13.906672,13.903107,13.943909,14.066872
0.3744,13.859132,14.181294,14.146325,14.1011,14.027002,14.029812,13.910689,13.910007,13.950328,14.070251
0.3816,13.862289,14.189796,14.155087,14.110211,14.033357,14.029991,13.915056,13.915185,13.959651,14.074511
0.3888,13.865959,14.197811,14.165005,14.121339,14.038848,14.028869,13.91831,13.917357,13.970842,14.078705
0.396,13.869703,14.205156,14.175245,14.133523,14.044157,14.026287,13.919653,13.91691,13.982079,14.082373
0.4032,13.873056,14.21086,14.185571,14.144812,14.050671,14.023254,13.920351,13.914992,13.99226,14.086086
0.4104,13.875826,14.214893,14.196284,14.154698,14.058513,14.021225,13.92187,13.912138,14.001286,14.090659
0.4176,13.878601,14.21821,14.20644,14.16313,14.066197,14.020082,13.924607,13.908707,14.009632,14.096149
0.4248,13.882318,14.220943,14.21539,14.170519,14.072705,14.018861,13.928659,13.905965,14.017986,14.102544
0.432,13.887027,14.222469,14.223946,14.177334,14.077885,14.018115,13.933986,13.90506,14.025574,14.109837
0.4392,13.891423,14.222871,14.232513,14.18389,14.081504,14.019622,13.940209,13.905775,14.031366,14.117567
0.4464,13.894597,14.223087,14.239985,14.189709,14.083447,14.023752,13.946819,13.907039,14.034438,14.124053
0.4536,13.895935,14.223853,14.245929,14.194121,14.084632,14.029399,13.953891,13.909076,14.034607,14.128443
0.4608,13.895514,14.225822,14.250603,14.19684,14.086763,14.036315,13.961662,13.913069,14.032448,14.131204
